,PermitNum,PermitClass,AppliedDate,CompletedDate,Description
410,6369945-CN,Single Family/Duplex,2013-06-18,2015-02-20,Construct middle single family residence per plan.  (Establish and construct (1) duplex and (2) single family residences with surface parking.  Review and processing for 3 AP's under 6361824).
411,6329528-CN,Single Family/Duplex,2013-05-28,2016-10-07,Construct duplex per plan (Establish use as townhouses and single family dwelling and contruct (1) new duplex and (1) new single family residence with surface parking. Review and processing for (2) AP's under 6329528).
412,6367087-CN,Single Family/Duplex,2013-05-28,2016-10-07,Construct single family dwelling per plan (Establish use as townhouses and single family dwelling and construct (1) new duplex and (1) new single family residence with surface parking. Review and processing for (2) AP's under 6329528).
413,6363467-CN,Single Family/Duplex,2013-05-07,2014-10-02,"Establish use and construct single family residence (Northeast bldg this permit) and occupy per plan (Establish use, construct duplex and 2 single family residences/review and process 3 APs under #6344197)"
414,6344197-CN,Single Family/Duplex,2013-05-07,2014-09-25,"Establish use as duplex, construct and occupy per plan (Establish use, construct duplex and 2 single family residences/review and process 3 APs under #6344197)"
415,6363466-CN,Single Family/Duplex,2013-05-07,2014-10-02,"Establish use and construct single family residence (Southeast bldg this permit) and occupy per plan (Establish use, construct duplex and 2 single family residences/review and process 3 APs under #6344197)"
416,6363056-CN,Single Family/Duplex,2013-04-26,2014-10-29,"Establish use as and construct one (2) unit townhouse (southeast duplex) with surface parking, per plan. (3 A/P's under 6321779)."
417,6363057-CN,Single Family/Duplex,2013-04-26,2014-10-29,"Establish use as and construct one (2) unit townhouse (northeast duplex) with surface parking, per plan. (3 A/P's under 6321779)."
418,6277634-CN,Single Family/Duplex,2013-04-03,2015-03-10,"Establish use as and construct new duplex with attached garages, per plan"
419,6346833-CN,Multifamily,2013-03-25,2014-07-30,"Construct east two-unit duplex (unit 3 and unit 4) , per plan (Establish use as and construct 2 new duplexes with surface parking / review & process for 2 AP's under #6346833)"
420,6358246-CN,Multifamily,2013-03-25,2014-07-30,"Construct west two-unit duplex (unit 1 and unit 2) , per plan (Establish use as and construct 2 new duplexes with surface parking / review & process for 2 AP's under #6346833)"
421,6356122-CN,Multifamily,2013-03-13,2014-09-10,"Construct south duplex this permit, per plan.(Establish use as and construct two duplex townhouses with attached garages. Review under project # 6341308)."
422,6341308-CN,Multifamily,2013-03-13,2014-09-10,Construct north duplex with attached garage per plan (Establish use as and construct two new duplexes with attached garage / review & process for 2 AP's under 6341308)
423,6349591-CN,Single Family/Duplex,2013-03-10,2014-06-02,Construct north single family residence with attached garage per plan (Establish use as and construct 1 new duplex and 1 new single family with attached garage / review & process for 2AP's under #6349591)
424,6356140-CN,Single Family/Duplex,2013-03-10,2014-06-02,Construct south duplex with attached garage per plan (Establish use as and construct 1 new duplex and 1 new single family with attached garage / review & process for 2AP's under #6349591)
425,6348218-CN,Single Family/Duplex,2013-03-04,2014-10-29,"Establish use as and construct new duplex w/surface parking stalls, per plan"
426,6353088-CN,Single Family/Duplex,2013-02-14,2014-04-29,"Establish Use as & Construct of east duplex with surface parking, per plan."
427,6339111-CN,Single Family/Duplex,2013-02-14,2014-04-25,"Establish Use as & Construct of west duplex with surface parking, per plan. (Establish Use as & Construction of 2 duplex structures w/ surface parking, per plan - 2 a/p's under 6339111)"
428,6344978-CN,Single Family/Duplex,2013-01-29,2013-12-19,"Establish use as Townhouse and Construct new 2 unit Duplex w/ surface parking, per plans."
429,6340386-CN,Single Family/Duplex,2012-12-27,2015-10-16,"Establish use as and construct new 2 unit west duplex with surface parking, per plans."
430,6336749-CN,Single Family/Duplex,2012-10-02,2013-12-09,"Construct north single family residence this permit, per plans.  (Establish use as townhouse and single family residence and construct 1 new duplex w/ attached garage and 2 new single family residence w/ surface parking. (Review & process for 3 AP's routing under #6328344)."
431,6336773-CN,Multifamily,2012-10-02,2014-02-06,"Construct SF South unit this permit, per plans. (Establish use as townhouse and single family residence and construct 1 new duplex w/ attached garage and 2 new single family residence w/ surface parking. (Review & process for 3 AP's routing under #6328344)."
432,6336750-CN,Single Family/Duplex,2012-10-02,2013-12-09,"Construct south single family residence this permit, per plans. (Establish use as townhouse and single family residence and construct 1 new duplex w/ attached garage and 2 new single family residence w/ surface parking. (Review & process for 3 AP's routing under #6328344)."
433,6328327-CN,Multifamily,2012-10-02,2014-02-06,"Construct Duplex this permit, per plans. (Establish use as townhouse and single family residence and construct 1 new duplex w/ attached garage and 2 new single family residence w/ surface parking."
434,6328344-CN,Single Family/Duplex,2012-10-02,2013-12-09,"Construct Duplex this permit, per plans. (Establish use as townhouse and single family residence and construct 1 new duplex w/ attached garage and 2 new single family residence w/ surface parking. (Review & process for 3 AP's routing under #6328344)."
435,6336774-CN,Multifamily,2012-10-02,2014-02-06,"Construct SF North unit this permit, per plans. (Establish use as townhouse and single family residence and construct 1 new duplex w/ attached garage and 2 new single family residence w/ surface parking. (Review & process for 3 AP's routing under #6328344)."
436,6329507-CN,Single Family/Duplex,2012-09-10,2014-03-28,Establish use as and construct 2-unit ground related rowhouse (duplex) with surface parking.
437,6333051-CN,Single Family/Duplex,2012-08-30,2013-09-20,"Construct north duplex, per plans (Establish use as 2 single family residences and 1 two-unit townhouse. Reviews and processing for 3 A/Ps under 6326969)"
438,6290710-CN,Multifamily,2012-08-03,2014-02-27,"Establish use as and construct west, two unit duplex, per plan. (Establish use as and construct (2) two unit duplex with surface parking, per plans. (Review and processing for 2 A/Ps under 6290710)"
439,6322550-CN,Single Family/Duplex,2012-07-06,2013-05-17,Establish use as and construct west duplex with attached garage per plan. (Establish use and construct duplex and two single family residences with attached garages per plan.3 A/Ps under 6322550).
440,6326468-CN,Single Family/Duplex,2012-07-06,2013-05-31,Establish use as and construct south single family residence with attached garage per plan. (Establish use and construct duplex and two single family residences with attached garages per plan.3 A/Ps under 6322550).
441,6326469-CN,Single Family/Duplex,2012-07-06,2013-05-31,Establish use as and construct north single family residence with attached garage per plan. (Establish use and construct duplex and two single family residences with attached garages per plan.3 A/Ps under 6322550).
442,6325824-CN,Multifamily,2012-06-29,2014-03-03,"Construct NW duplex this permit and occupy, per plans. (Establish use as and construct live work triplex and duplex with attached garage and occupy, per plans (Review and Process for 2 A/P under 6321574)."
443,6321574-CN,Multifamily,2012-06-29,2014-04-11,"Construct NE 2-unit live/work structure this permit and occupy, per plans. (Establish use as and construct 2-unit live work structure and duplex with attached garage and occupy, per plans (Review and Process for 2 A/P under 6321574)."
444,6323644-CN,Single Family/Duplex,2012-06-11,2013-09-30,"Construct Middle Single family residence this permit,.  (Establish use as townhouse and single family residence and construct (1) new duplex and (2) new single family residence w/ surface parking. w/review and process for 3 A/P under 6316896, per plan."
445,6323643-CN,Single Family/Duplex,2012-06-11,2013-09-30,"Construct East Single family residence this permit, per plans.  (Establish use as townhouse and single family residence and construct (1) new duplex and (2) new single family residence w/ surface parking. w/review and process for 3 A/P under 6316896, per plan."
446,6316896-CN,Single Family/Duplex,2012-06-11,2013-10-01,"Construct West Duplex structure, per plans.  (Establish use as townhouse and single family residence) and construct (1) new duplex and (2) new single family residence w/ surface parking. w/review and process for 3 A/P under 6316896, per plan."
